Library,Operation,Mean Time [s],Median Time [s],Standard Deviation [s]
pandas,Group By and Aggregate,0.04718145413789898,0.0456678745104,0.005213841453527751
pandas,Quantile,0.000742170880548656,0.0007350206142291427,3.193566447491112e-05
pandas,Filter,0.0003115074662491679,0.0003072915133088827,1.8288298157825945e-05
pandas,Sort,0.0009512550290673972,0.0009249374270439148,0.000166819562065887
Polars,Group By and Aggregate,0.007330139977857471,0.007149999961256981,0.0007014288884850542
Polars,Quantile,0.00012774081900715828,0.00011758343316614628,6.686784306645546e-05
Polars,Filter,0.0003633766807615757,0.000349833513610065,4.7619461954170906e-05
Polars,Sort - Multithreaded,0.00040647001937031745,0.0004011045675724745,4.240127678986065e-05
Polars,Sort - Singlethreaded,0.00031919007655233143,0.0003172289580106735,1.0624516001319616e-05
